experiment,case,variant,storage_tau,area_weights,role,evaluations,overflow_share,mean_spill_fraction,median_spill_fraction,max_spill_fraction
Kuranji_order_uncertainty,KURANJI,refinement_008,0.0,0,urban_and_receiver,864,0.5567129629629629,0.22008916158396352,0.0772379844696586,0.92
Kuranji_order_uncertainty,KURANJI,refinement_009,0.0,0,urban_and_receiver,864,0.5243055555555556,0.20036871842209736,0.031796906845400603,0.9
Kuranji_order_uncertainty,KURANJI,refinement_010,0.0,0,urban_and_receiver,864,0.5057870370370371,0.19605096487082962,0.009112988927522901,0.9
Kuranji_order_uncertainty,KURANJI,refinement_011,0.0,0,urban_and_receiver,864,0.5150462962962963,0.1979886570310788,0.021010791566756302,0.9
Kuranji_order_uncertainty,KURANJI,refinement_012,0.0,0,urban_and_receiver,864,0.5266203703703703,0.20233252697571677,0.03545660888194935,0.92
Kuranji_order_uncertainty,KURANJI,refinement_013,0.0,0,urban_and_receiver,864,0.5231481481481481,0.20224088921929192,0.03105009727487075,0.92
Kuranji_order_uncertainty,KURANJI,refinement_014,0.0,0,urban_and_receiver,864,0.5162037037037037,0.2001149648077511,0.02811604956305845,0.9000000000000001
Kuranji_order_uncertainty,KURANJI,refinement_015,0.0,0,urban_and_receiver,864,0.5578703703703703,0.22862980578864123,0.09435802553483169,0.94
Kuranji_order_uncertainty,KURANJI,refinement_016,0.0,0,urban_and_receiver,864,0.5497685185185185,0.2268212116316691,0.09525039588799769,0.94
Kuranji_order_uncertainty,KURANJI,refinement_017,0.0,0,urban_and_receiver,864,0.5451388888888888,0.2241975039990367,0.0697842363732378,0.94
Kuranji_order_uncertainty,KURANJI,refinement_018,0.0,0,urban_and_receiver,864,0.5636574074074074,0.2302869086152951,0.1,0.94
Kuranji_order_uncertainty,KURANJI,refinement_019,0.0,0,urban_and_receiver,864,0.5532407407407407,0.2265961650561733,0.075,0.94
Kuranji_order_uncertainty,KURANJI,refinement_020,0.0,0,urban_and_receiver,864,0.5555555555555556,0.22629137681420056,0.0922916666666665,0.94
Kuranji_order_uncertainty,KURANJI,refinement_021,0.0,0,urban_and_receiver,864,0.5439814814814815,0.22445108310937986,0.075,0.94
Kuranji_order_uncertainty,KURANJI,refinement_022,0.0,0,urban_and_receiver,864,0.5590277777777778,0.22812542865226001,0.08111158596973,0.94
Kuranji_order_uncertainty,KURANJI,refinement_023,0.0,0,urban_and_receiver,864,0.5393518518518519,0.2221583518406272,0.06792240519608381,0.94
Kuranji_order_uncertainty,KURANJI,refinement_024,0.0,0,urban_and_receiver,864,0.5543981481481481,0.22600990582467068,0.1,0.94
Kuranji_order_uncertainty,KURANJI,refinement_025,0.0,0,urban_and_receiver,864,0.5439814814814815,0.22309225678619196,0.065625,0.94
Kuranji_order_uncertainty,KURANJI,refinement_026,0.0,0,urban_and_receiver,864,0.5509259259259259,0.22490092330123784,0.075,0.94
Kuranji_order_uncertainty,KURANJI,refinement_027,0.0,0,urban_and_receiver,864,0.5509259259259259,0.22896029893670866,0.075,0.94
Kuranji_order_uncertainty,KURANJI,refinement_028,0.0,0,urban_and_receiver,864,0.5555555555555556,0.22679164638348745,0.08024006893798775,0.94
Kuranji_order_uncertainty,KURANJI,refinement_029,0.0,0,urban_and_receiver,864,0.5462962962962963,0.22391279036845987,0.06811424950118025,0.94
Kuranji_order_uncertainty,KURANJI,refinement_030,0.0,0,urban_and_receiver,864,0.5532407407407407,0.2265297613004883,0.0908077606091861,0.94
Kuranji_order_uncertainty,KURANJI,refinement_031,0.0,0,urban_and_receiver,864,0.5428240740740741,0.2228488790939302,0.07243878057457215,0.94
Kuranji_order_uncertainty,KURANJI,refinement_032,0.0,0,urban_and_receiver,864,0.5520833333333334,0.22635911869655861,0.0819740479666375,0.94
Kuranji_order_uncertainty,KURANJI,refinement_033,0.0,0,urban_and_receiver,864,0.5069444444444444,0.19529594035793957,0.012804856213216202,0.9
Kuranji_order_uncertainty,KURANJI,refinement_034,0.0,0,urban_and_receiver,864,0.5092592592592593,0.19894366139963982,0.0125,0.92
Kuranji_order_uncertainty,KURANJI,refinement_035,0.0,0,urban_and_receiver,864,0.5046296296296297,0.1954692808114183,0.0092488800364683,0.9
Kuranji_order_uncertainty,KURANJI,refinement_036,0.0,0,urban_and_receiver,864,0.5497685185185185,0.21702254324427445,0.05769174374356275,0.92
Kuranji_order_uncertainty,KURANJI,refinement_037,0.0,0,urban_and_receiver,864,0.5474537037037037,0.21505271016320418,0.05305555555555545,0.92
Kuranji_order_uncertainty,KURANJI,refinement_038,0.0,0,urban_and_receiver,864,0.5104166666666666,0.1951755363234467,0.012083333333333252,0.9
Kuranji_order_uncertainty,KURANJI,refinement_039,0.0,0,urban_and_receiver,864,0.5046296296296297,0.19768539545836136,0.006765417941238,0.9
Kuranji_order_uncertainty,KURANJI,refinement_040,0.0,0,urban_and_receiver,864,0.5046296296296297,0.19307247122706522,0.005028398906797,0.9
Kuranji_order_uncertainty,KURANJI,refinement_041,0.0,0,urban_and_receiver,864,0.5462962962962963,0.2150383463308817,0.05505056076501505,0.92
Kuranji_order_uncertainty,KURANJI,refinement_042,0.0,0,urban_and_receiver,864,0.5162037037037037,0.20058063789700928,0.02397176599620525,0.9
Kuranji_order_uncertainty,KURANJI,refinement_043,0.0,0,urban_and_receiver,864,0.5196759259259259,0.20062416686588802,0.0270371271516834,0.9
Kuranji_order_uncertainty,KURANJI,refinement_044,0.0,0,urban_and_receiver,864,0.5150462962962963,0.19564705538023647,0.0104599406991527,0.9
Kuranji_order_uncertainty,KURANJI,refinement_045,0.0,0,urban_and_receiver,864,0.5034722222222222,0.1948481274708038,0.0072230558777961005,0.9
Kuranji_order_uncertainty,KURANJI,refinement_046,0.0,0,urban_and_receiver,864,0.49537037037037035,0.193893090720258,0.0,0.92
Kuranji_order_uncertainty,KURANJI,refinement_047,0.0,0,urban_and_receiver,864,0.5023148148148148,0.1937204661474513,0.00118647206666405,0.92
Kuranji_order_uncertainty,KURANJI,refinement_048,0.0,0,urban_and_receiver,864,0.5462962962962963,0.2235670144675651,0.0769813752178252,0.94
Kuranji_order_uncertainty,KURANJI,refinement_049,0.0,0,urban_and_receiver,864,0.5347222222222222,0.22105160261677803,0.0583512924497262,0.94
Kuranji_order_uncertainty,KURANJI,refinement_050,0.0,0,urban_and_receiver,864,0.5497685185185185,0.22696664524650995,0.075,0.94
Kuranji_order_uncertainty,KURANJI,refinement_051,0.0,0,urban_and_receiver,864,0.5520833333333334,0.22513112089398446,0.075,0.94
Kuranji_order_uncertainty,KURANJI,refinement_052,0.0,0,urban_and_receiver,864,0.5543981481481481,0.22755306813408158,0.07993235606901031,0.94
Kuranji_order_uncertainty,KURANJI,refinement_053,0.0,0,urban_and_receiver,864,0.5543981481481481,0.22640170144945074,0.0825678828095925,0.94
Kuranji_order_uncertainty,KURANJI,refinement_054,0.0,0,urban_and_receiver,864,0.5474537037037037,0.22382127235682445,0.07249999999999984,0.94
Kuranji_order_uncertainty,KURANJI,refinement_055,0.0,0,urban_and_receiver,864,0.5428240740740741,0.2218789563983091,0.06937499999999985,0.94
Kuranji_order_uncertainty,KURANJI,refinement_056,0.0,0,urban_and_receiver,864,0.5543981481481481,0.2272039956332405,0.0831234383651481,0.94
Kuranji_order_uncertainty,KURANJI,refinement_057,0.0,0,urban_and_receiver,864,0.5185185185185185,0.19728143536306839,0.025,0.9
