case,storage_tau,role,mean_delta,higher_share,lower_share,mean_spill
HUE,2.0,receiver,-0.035753812963741166,0.015769675925925927,0.4565972222222222,0.13604798687801375
HUE,2.0,urban,-0.020947890656319763,0.0,0.2764756944444444,0.03368059380431116
HUE,8.0,receiver,-0.09876771614616152,0.004701967592592593,0.4673755787037037,0.07303408369559337
HUE,8.0,urban,-0.045157117756277905,0.0,0.2764756944444444,0.00947136670435302
MANADO,2.0,urban_and_receiver,-0.029307149182047822,0.05381944444444445,0.3893229166666667,0.19119049626944715
MANADO,8.0,urban_and_receiver,-0.07969167654548524,0.022858796296296297,0.4202835648148148,0.14080596890600972
