variant,mean_spill_fraction,overflow_share,mean_peak
refinement_000,0.20045758595727023,0.5185185185185185,12.933871803811668
refinement_001,0.2041258003729056,0.5208333333333334,14.235277996108811
refinement_002,0.2004637517712916,0.5150462962962963,13.549655453601511
refinement_003,0.21757491947862112,0.5497685185185185,15.174885737058188
refinement_004,0.21793365103097373,0.5520833333333334,15.13712547496765
refinement_005,0.19904779503860043,0.5196759259259259,13.582057128847655
refinement_006,0.2001776800679106,0.5173611111111112,14.098697779033106
refinement_007,0.19985113314737699,0.5185185185185185,13.882915975781419
refinement_008,0.22008916158396352,0.5567129629629629,15.399274545056695
refinement_009,0.20036871842209736,0.5243055555555556,13.923430720593883
refinement_010,0.19605096487082962,0.5057870370370371,13.472465967164583
refinement_011,0.1979886570310788,0.5150462962962963,13.329119929520264
refinement_012,0.20233252697571677,0.5266203703703703,13.737415760499816
refinement_013,0.20224088921929192,0.5231481481481481,14.153996978994572
refinement_014,0.2001149648077511,0.5162037037037037,13.711637769749384
refinement_015,0.22862980578864123,0.5578703703703703,15.532578486068406
refinement_016,0.2268212116316691,0.5497685185185185,15.973865701493331
refinement_017,0.2241975039990367,0.5451388888888888,15.205952185944902
refinement_018,0.2302869086152951,0.5636574074074074,15.77969240181933
refinement_019,0.2265961650561733,0.5532407407407407,15.435263988222323
refinement_020,0.22629137681420056,0.5555555555555556,15.626504212837249
refinement_021,0.22445108310937986,0.5439814814814815,15.342228935350269
refinement_022,0.22812542865226001,0.5590277777777778,15.456614589921237
refinement_023,0.2221583518406272,0.5393518518518519,14.951549527572412
refinement_024,0.22600990582467068,0.5543981481481481,15.68081472090297
refinement_025,0.22309225678619196,0.5439814814814815,15.182397941289206
refinement_026,0.22490092330123784,0.5509259259259259,15.509682138935839
refinement_027,0.22896029893670866,0.5509259259259259,15.631921920889464
refinement_028,0.22679164638348745,0.5555555555555556,15.597593897206538
refinement_029,0.22391279036845987,0.5462962962962963,15.371865853113437
refinement_030,0.2265297613004883,0.5532407407407407,15.94001702626645
refinement_031,0.2228488790939302,0.5428240740740741,15.227444131540336
refinement_032,0.22635911869655861,0.5520833333333334,15.470891624536735
refinement_033,0.19529594035793957,0.5069444444444444,13.102937702016243
refinement_034,0.19894366139963982,0.5092592592592593,13.357912058761789
refinement_035,0.1954692808114183,0.5046296296296297,13.149176654271537
refinement_036,0.21702254324427445,0.5497685185185185,14.89672042771415
refinement_037,0.21505271016320418,0.5474537037037037,14.910731421038657
refinement_038,0.1951755363234467,0.5104166666666666,13.497324789626335
refinement_039,0.19768539545836136,0.5046296296296297,13.448585870928943
refinement_040,0.19307247122706522,0.5046296296296297,13.419469139578394
refinement_041,0.2150383463308817,0.5462962962962963,14.701918365588448
refinement_042,0.20058063789700928,0.5162037037037037,13.727530585465988
refinement_043,0.20062416686588802,0.5196759259259259,13.676762655758342
refinement_044,0.19564705538023647,0.5150462962962963,13.22503044757492
refinement_045,0.1948481274708038,0.5034722222222222,13.003799431727428
refinement_046,0.193893090720258,0.49537037037037035,12.991552927850925
refinement_047,0.1937204661474513,0.5023148148148148,12.899487012847553
refinement_048,0.2235670144675651,0.5462962962962963,15.43543651404883
refinement_049,0.22105160261677803,0.5347222222222222,14.785377773168593
refinement_050,0.22696664524650995,0.5497685185185185,15.398823823949847
refinement_051,0.22513112089398446,0.5520833333333334,15.409290222313631
refinement_052,0.22755306813408158,0.5543981481481481,15.518861406843008
refinement_053,0.22640170144945074,0.5543981481481481,15.367515611963018
refinement_054,0.22382127235682445,0.5474537037037037,15.310133046802767
refinement_055,0.2218789563983091,0.5428240740740741,15.285168215764115
refinement_056,0.2272039956332405,0.5543981481481481,15.150821217326067
refinement_057,0.19728143536306839,0.5185185185185185,13.605407216041712
refinement_058,0.19514298004793315,0.5057870370370371,13.14658624229867
refinement_059,0.19613959007273357,0.5127314814814815,13.343308956561073
refinement_060,0.21690904124848526,0.5509259259259259,15.099336272259109
refinement_061,0.2168921169914653,0.5520833333333334,14.980364642821614
refinement_062,0.19473630914774123,0.5092592592592593,13.57921774420829
refinement_063,0.20049438504729403,0.5196759259259259,14.057844289977645
refinement_064,0.19421305669747688,0.5069444444444444,13.118426421224363
refinement_065,0.21720022271059194,0.5497685185185185,15.042216491358037
refinement_066,0.20036540054270832,0.5254629629629629,14.063241932690428
refinement_067,0.20223906325496746,0.5243055555555556,13.866712190178262
refinement_068,0.1999604838972388,0.5243055555555556,13.706921379868735
refinement_069,0.19833300605641643,0.5138888888888888,13.548024899165865
refinement_070,0.20094248364060702,0.5127314814814815,13.610188154578012
refinement_071,0.20091151453093414,0.5219907407407407,13.59591052609725
refinement_072,0.22695638479189503,0.5578703703703703,15.52469357909234
refinement_073,0.22650482447428766,0.5520833333333334,15.759619102714511
refinement_074,0.22452644456179147,0.5543981481481481,15.283611993630325
refinement_075,0.20297233052789324,0.5243055555555556,13.862726651829675
refinement_076,0.20315506326402108,0.5162037037037037,13.700334896102834
refinement_077,0.20210622621388327,0.5208333333333334,13.916356778603253
refinement_078,0.21987720315394607,0.5532407407407407,15.054010299838469
refinement_079,0.21907284177930822,0.5462962962962963,14.987642610573978
refinement_080,0.20359994577699883,0.5208333333333334,13.94504912630904
refinement_081,0.20223587334609958,0.5243055555555556,14.002925642923067
refinement_082,0.19930762909247463,0.5173611111111112,13.622479638820751
refinement_083,0.21932309970282418,0.5520833333333334,15.001449345963355
refinement_084,0.2011381754549186,0.5300925925925926,13.998544690164612
refinement_085,0.20005950903237998,0.5196759259259259,13.513272710130861
refinement_086,0.19984688901346248,0.53125,13.754519416722246
refinement_087,0.20226595139463896,0.5219907407407407,13.601441476814339
refinement_088,0.202838280855771,0.5173611111111112,13.935745387614595
refinement_089,0.1977598893513194,0.5185185185185185,13.284691856565875
refinement_090,0.20131398059324215,0.5185185185185185,13.303366789132538
refinement_091,0.20387086854304823,0.5150462962962963,13.53750589649272
refinement_092,0.20264676301312712,0.5208333333333334,13.678627575358407
refinement_093,0.2146228214217125,0.5439814814814815,14.208653851566199
refinement_094,0.2144157512453482,0.5381944444444444,14.207248119142221
refinement_095,0.2007603548770131,0.5185185185185185,13.457570711034291
refinement_096,0.1984382609011515,0.5092592592592593,13.495570655724983
refinement_097,0.2004532969359016,0.5138888888888888,13.715051785404276
refinement_098,0.21519940834693,0.5405092592592593,14.16072245685754
refinement_099,0.19795094762561113,0.5127314814814815,13.149602012766833
refinement_100,0.19580318139588734,0.5081018518518519,13.31321147308303
refinement_101,0.19782290265517308,0.5150462962962963,13.154211429878103
refinement_102,0.2008973375644777,0.5150462962962963,13.21842253573797
refinement_103,0.2003851802115372,0.5115740740740741,13.830694874211176
refinement_104,0.1956419015965276,0.5104166666666666,13.045251519447763
