variant,shape,mean_delta_spill,greater_share,less_share,tie_share,mean_spill,tree
binary_00,sequential,-0.0006591912790271352,0.20457175925925927,0.21585648148148148,0.5795717592592593,0.18324183868647068,"(((T,U),L),B)"
binary_01,sequential,-0.002167870902097908,0.21354166666666666,0.23307291666666666,0.5533854166666666,0.18173315906339993,"(((L,T),U),B)"
binary_02,sequential,-0.000636937915879517,0.2170138888888889,0.23473668981481483,0.5482494212962963,0.18326409204961827,"(((L,U),T),B)"
binary_03,balanced,0.020535805540665617,0.3699363425925926,0.12825520833333334,0.5018084490740741,0.20443683550616343,"((B,L),(T,U))"
binary_04,balanced,0.021504478725700077,0.3746383101851852,0.1345486111111111,0.4908130787037037,0.20540550869119786,"((B,T),(L,U))"
binary_05,sequential,-0.0026151721990448095,0.20674189814814814,0.2172309027777778,0.5760271990740741,0.181285857766453,"(((L,T),B),U)"
binary_06,sequential,-0.002979024803799702,0.2224392361111111,0.24442997685185186,0.5331307870370371,0.1809220051616981,"(((B,L),T),U)"
binary_07,sequential,-0.00210849596597377,0.22005208333333334,0.2339409722222222,0.5460069444444444,0.18179253399952403,"(((B,T),L),U)"
binary_08,balanced,0.020820632735346793,0.37355324074074076,0.13194444444444445,0.4945023148148148,0.2047216627008446,"((B,U),(L,T))"
binary_09,sequential,-0.0005680016464119605,0.20616319444444445,0.21780960648148148,0.5760271990740741,0.18333302831908588,"(((L,U),B),T)"
binary_10,sequential,-0.0019334773752986512,0.22200520833333334,0.24732349537037038,0.5306712962962963,0.18196755259019917,"(((B,L),U),T)"
binary_11,sequential,-0.0009267106935945729,0.2204861111111111,0.23408564814814814,0.5454282407407407,0.18297431927190325,"(((B,U),L),T)"
binary_12,sequential,0.0,0.0,0.0,1.0,0.18390102996549781,"(((T,U),B),L)"
binary_13,sequential,-0.0009437953188544463,0.1968315972222222,0.20732060185185186,0.5958478009259259,0.18295723464664335,"(((B,T),U),L)"
binary_14,sequential,-0.001350590080111536,0.1994357638888889,0.2007378472222222,0.5998263888888888,0.18255043988538627,"(((B,U),T),L)"
