condition,topology,evaluations,overflow_share,mean_spill_fraction,mean_unreleased_fraction
common_50pct,one_route,13824,0.7502893518518519,0.3522214461274431,0.3522214461274431
common_50pct,two_equal_budget_routes,13824,0.7502893518518519,0.3522214461274431,0.3522214461274431
one_route_blocked,one_route,13824,1.0,0.8666666666666666,0.9999999999999999
one_route_blocked,two_equal_budget_routes,13824,0.7502893518518519,0.3522214461274431,0.3522214461274431
unrestricted,one_route,13824,0.5407262731481481,0.21006031270916534,0.21006031270916534
unrestricted,two_equal_budget_routes,13824,0.5407262731481481,0.21006031270916534,0.21006031270916534
