shape,spread,duration,mean_spill,mean_delta_spill
balanced,0,2,0.4350034458068257,0.09276321781970431
balanced,0,8,0.2582141566951484,0.041010168426176635
balanced,0,24,0.10022795164987451,0.009602159728210888
balanced,8,2,0.3219287478492255,0.01688436549216024
balanced,8,8,0.20902190732687834,0.015046159986468747
balanced,8,24,0.09125169663856554,0.0067715479649981605
balanced,24,2,0.23550822752983894,0.00021952247494719083
balanced,24,8,0.13164031960609882,0.005337339136063222
balanced,24,24,0.060895567592162,0.0009482699764080644
sequential,0,2,0.3377452632788589,-0.004494964708262435
sequential,0,8,0.21752797539468025,0.0003239871257084139
sequential,0,24,0.09117605226175264,0.0005502603400890064
sequential,8,2,0.3007267917780603,-0.004317590579005009
sequential,8,8,0.19264921400921736,-0.0013265333311922338
sequential,8,24,0.08466594440937156,0.00018579573580416648
sequential,24,2,0.23164931795641575,-0.003639387098475992
sequential,24,8,0.1276063260488334,0.0013033455787977797
sequential,24,24,0.05869543341721972,-0.0012518641985342013
