case,role,mean_delta,mean_spill
HUE,receiver,0.001565833254409625,0.16394603585754852
HUE,urban,0.0038889145195014022,0.05340850661185942
KADAMAIAN,urban_and_receiver,0.0015522084348596268,0.21164438273394062
KURANJI,urban_and_receiver,0.015896873814443324,0.2121087875142983
