case,storage_tau,pairs,mean_delta,higher_share,lower_share,source_aligned_spill,staggered_spill,tie_share
CDO,0.0,4608,0.07487205910528422,0.4919704861111111,0.04665798611111111,0.21538505348551132,0.1405129943802271,0.46137152777777773
HATYAI,0.0,4608,0.13212787185093391,0.5716145833333334,0.0006510416666666666,0.2430591505897054,0.11093127873877145,0.42773437499999994
HUE,0.0,4608,0.06758338649998936,0.4644097222222222,0.043402777777777776,0.20066117943460904,0.13307779293461966,0.4921875
HUE,8.0,4608,0.018626579418164712,0.2621527777777778,0.0876736111111111,0.07930883914219224,0.06068225972402752,0.6501736111111112
KADAMAIAN,0.0,4608,0.07663045708002167,0.51953125,0.05685763888888889,0.25581962424276306,0.17918916716274136,0.4236111111111111
KURANJI,0.0,4608,0.1281659399763521,0.6056857638888888,0.0,0.2673845840373554,0.13921864406100326,0.39431423611111116
MANADO,0.0,4608,0.07960610751529107,0.5266927083333334,0.0546875,0.257446991870146,0.17784088435485493,0.41861979166666663
MANADO,8.0,4608,0.024156231300537755,0.3292100694444444,0.15364583333333334,0.14889116131934468,0.12473493001880692,0.5171440972222222
