scenario_id,duration,shape,spread,weights,activation,delay,memory,rep
115,2,block,8,random,subset,unit,0.0,3
116,2,block,8,random,subset,unit,2.0,0
117,2,block,8,random,subset,unit,2.0,1
118,2,block,8,random,subset,unit,2.0,2
119,2,block,8,random,subset,unit,2.0,3
120,2,block,8,random,subset,heterogeneous,0.0,0
121,2,block,8,random,subset,heterogeneous,0.0,1
122,2,block,8,random,subset,heterogeneous,0.0,2
123,2,block,8,random,subset,heterogeneous,0.0,3
124,2,block,8,random,subset,heterogeneous,2.0,0
125,2,block,8,random,subset,heterogeneous,2.0,1
126,2,block,8,random,subset,heterogeneous,2.0,2
127,2,block,8,random,subset,heterogeneous,2.0,3
128,2,block,24,equal,all,unit,0.0,0
129,2,block,24,equal,all,unit,0.0,1
130,2,block,24,equal,all,unit,0.0,2
131,2,block,24,equal,all,unit,0.0,3
132,2,block,24,equal,all,unit,2.0,0
133,2,block,24,equal,all,unit,2.0,1
134,2,block,24,equal,all,unit,2.0,2
135,2,block,24,equal,all,unit,2.0,3
136,2,block,24,equal,all,heterogeneous,0.0,0
137,2,block,24,equal,all,heterogeneous,0.0,1
138,2,block,24,equal,all,heterogeneous,0.0,2
139,2,block,24,equal,all,heterogeneous,0.0,3
140,2,block,24,equal,all,heterogeneous,2.0,0
141,2,block,24,equal,all,heterogeneous,2.0,1
142,2,block,24,equal,all,heterogeneous,2.0,2
143,2,block,24,equal,all,heterogeneous,2.0,3
144,2,block,24,equal,subset,unit,0.0,0
145,2,block,24,equal,subset,unit,0.0,1
146,2,block,24,equal,subset,unit,0.0,2
147,2,block,24,equal,subset,unit,0.0,3
148,2,block,24,equal,subset,unit,2.0,0
149,2,block,24,equal,subset,unit,2.0,1
150,2,block,24,equal,subset,unit,2.0,2
151,2,block,24,equal,subset,unit,2.0,3
152,2,block,24,equal,subset,heterogeneous,0.0,0
153,2,block,24,equal,subset,heterogeneous,0.0,1
154,2,block,24,equal,subset,heterogeneous,0.0,2
155,2,block,24,equal,subset,heterogeneous,0.0,3
156,2,block,24,equal,subset,heterogeneous,2.0,0
157,2,block,24,equal,subset,heterogeneous,2.0,1
158,2,block,24,equal,subset,heterogeneous,2.0,2
159,2,block,24,equal,subset,heterogeneous,2.0,3
160,2,block,24,random,all,unit,0.0,0
161,2,block,24,random,all,unit,0.0,1
162,2,block,24,random,all,unit,0.0,2
163,2,block,24,random,all,unit,0.0,3
164,2,block,24,random,all,unit,2.0,0
165,2,block,24,random,all,unit,2.0,1
166,2,block,24,random,all,unit,2.0,2
167,2,block,24,random,all,unit,2.0,3
168,2,block,24,random,all,heterogeneous,0.0,0
169,2,block,24,random,all,heterogeneous,0.0,1
